note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[28],"[[161, 346, 493, 373]]",7,[28],"[[160, 638, 475, 662]]",[UUID('a78bb329-e32e-3971-8099-b6df05267d46')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7fe2f83b9970>],"['6', '6']"
7,,[28],"[[160, 638, 475, 662]]",8,[29],"[[161, 735, 323, 758]]","[UUID('dd0b54b1-ae15-356c-ae39-9d60935625e7'), UUID('6df1755d-9f56-30b6-b668-3883a4759256')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<db_models.TableLogs object at 0x7fe2f83b9a90>, <db_models.TableLogs object at 0x7fe2f9277460>]","['7', '7']"
8,,[29],"[[161, 735, 323, 758]]",9,[29],"[[161, 1008, 338, 1032]]",[UUID('e1c7b062-750d-3921-8259-19418a13f2c6')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7fe2f83efb20>],['8']
9,,[29],"[[161, 1008, 338, 1032]]",10,[30],"[[164, 329, 503, 355]]",[UUID('e109e16a-a440-32f4-b0b8-84e928bd0fa7')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7fe2f83efaf0>],['9']
10,,[30],"[[164, 329, 503, 355]]",11,[31],"[[161, 342, 376, 370]]",[UUID('821061f6-6d12-3a83-b648-d905b4b82a31')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<db_models.TableLogs object at 0x7fe2f84648e0>],['10']
11,,[31],"[[161, 342, 376, 370]]",12,[31],"[[161, 876, 453, 904]]",[UUID('fc8cb365-6282-3259-b0ac-3e25ed8239fa')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]]",[<db_models.TableLogs object at 0x7fe2f83bf0d0>],['11']
5,,[26],"[[162, 744, 324, 769]]",6,[27],"[[165, 855, 1028, 881]]","[UUID('fd791fd0-d8c8-32e7-9d3d-36135c068a96'), UUID('412c019a-25e7-31b2-b338-875d3b57db61'), UUID('d493819c-94d0-307a-aef5-4e241134fa04')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3, 4]]","[<db_models.TableLogs object at 0x7fe2f8352df0>, <db_models.TableLogs object at 0x7fe2f921a0d0>, <db_models.TableLogs object at 0x7fe2f921a670>]","['5', '5']"
12,,[31],"[[161, 876, 453, 904]]",13,[32],"[[162, 343, 318, 370]]",[UUID('fc8cb365-6282-3259-b0ac-3e25ed8239fa')],"[[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]]",[<db_models.TableLogs object at 0x7fe2f83bf0d0>],['12']
13,,[32],"[[162, 343, 318, 370]]",14,[32],"[[161, 717, 467, 743]]",[UUID('ac23ebec-90cf-3015-ba6d-3797dcee7984')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<db_models.TableLogs object at 0x7fe2f747da60>],['13']
14,,[32],"[[161, 717, 467, 743]]",15,[32],"[[161, 953, 571, 980]]",[UUID('46d96b94-e741-3831-8191-cd69b97789e4')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7fe2f844ef10>],"['14', '14']"
15,,[32],"[[161, 953, 571, 980]]",16,[33],"[[162, 976, 284, 998]]","[UUID('46d96b94-e741-3831-8191-cd69b97789e4'), UUID('e18a0fc5-eab6-3f17-86a9-d0f8a7dbc230')]","[[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [0, 1, 2, 3, 4, 5, 6, 7, 8]]","[<db_models.TableLogs object at 0x7fe2f844ef10>, <db_models.TableLogs object at 0x7fe2f7455cd0>]","['15', '15']"
17,,[34],"[[160, 1253, 390, 1281]]",18,[35],"[[160, 501, 338, 529]]",[UUID('4e0097f4-2b78-3626-bb5a-20962cf2e862')],"[[16, 17, 18, 19, 20]]",[<db_models.TableLogs object at 0x7fe2f839b700>],['17']
4,1,[25],"[[161, 379, 373, 406]]",4.2,[25],"[[160, 666, 350, 692]]",[UUID('12c134c9-f365-3aad-bb0b-6945e88593df')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",[<db_models.TableLogs object at 0x7fe2f83bf9d0>],['4.1']
4,2,[25],"[[160, 666, 350, 692]]",4.3,[25],"[[161, 814, 345, 837]]",[UUID('12c134c9-f365-3aad-bb0b-6945e88593df')],"[[11, 12, 13, 14, 15]]",[<db_models.TableLogs object at 0x7fe2f83bf9d0>],['4.2']
4,3,[25],"[[161, 814, 345, 837]]",4.4,[25],"[[160, 1029, 472, 1055]]",[UUID('12c134c9-f365-3aad-bb0b-6945e88593df')],"[[15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<db_models.TableLogs object at 0x7fe2f83bf9d0>],['4.3']
4,4,[25],"[[160, 1029, 472, 1055]]",4.5,[25],"[[162, 1218, 925, 1246]]",[UUID('12c134c9-f365-3aad-bb0b-6945e88593df')],"[[23, 24, 25, 26, 27, 28]]",[<db_models.TableLogs object at 0x7fe2f83bf9d0>],['4.4']
4,6,[26],"[[161, 379, 459, 407]]",4.7,[26],"[[160, 562, 402, 588]]",[UUID('b1818398-7624-37bc-9aba-9e42d0312183')],"[[1, 2, 3, 4, 5, 6, 7, 8]]",[<db_models.TableLogs object at 0x7fe2f7471dc0>],['4.6']
4,7,[26],"[[160, 562, 402, 588]]",4.8,[27],"[[165, 837, 779, 861]]","[UUID('fd791fd0-d8c8-32e7-9d3d-36135c068a96'), UUID('b1818398-7624-37bc-9aba-9e42d0312183'), UUID('412c019a-25e7-31b2-b338-875d3b57db61'), UUID('d493819c-94d0-307a-aef5-4e241134fa04')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [8, 9, 10, 11, 12, 13], [0, 1, 2, 3, 4, 5, 6, 7, 8], [0, 1, 2, 3]]","[<db_models.TableLogs object at 0x7fe2f8352df0>, <db_models.TableLogs object at 0x7fe2f7471dc0>, <db_models.TableLogs object at 0x7fe2f921a0d0>, <db_models.TableLogs object at 0x7fe2f921a670>]",['4.7']
,,[13],"[[162, 468, 386, 493]]",,[13],"[[162, 226, 1018, 261]]",[],[],[],['in']
