note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[29],"[[145, 319, 457, 338]]",7,[29],"[[145, 507, 465, 521]]",[UUID('8534027f-1c7e-3c62-92a7-be47685905e6')],"[[0, 1, 2, 3, 4]]",[<db_models.TableLogs object at 0x7fde156fe850>],"['6', '6']"
7,,[29],"[[145, 507, 465, 521]]",8,[29],"[[145, 703, 306, 717]]",[UUID('8534027f-1c7e-3c62-92a7-be47685905e6')],"[[5, 6, 7, 8, 9, 10]]",[<db_models.TableLogs object at 0x7fde156fe850>],['7']
8,,[29],"[[145, 703, 306, 717]]",9,[29],"[[144, 995, 354, 1009]]",[UUID('8534027f-1c7e-3c62-92a7-be47685905e6')],"[[11, 12, 13, 14, 15, 16]]",[<db_models.TableLogs object at 0x7fde156fe850>],['8']
9,,[29],"[[144, 995, 354, 1009]]",10,[30],"[[145, 319, 321, 334]]",[UUID('3a5ba939-d90c-31e1-a970-68c87eb4b6dc')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<db_models.TableLogs object at 0x7fde146f35e0>],"['9', '9']"
11,,[30],"[[145, 630, 455, 648]]",12,[31],"[[145, 320, 489, 338]]","[UUID('a147e74b-6105-3ee1-a346-7906f3bf25b5'), UUID('d0e6195c-4fe5-3f4e-86e9-175b80f2e3fd'), UUID('fcd2fd8d-656e-30e8-b0a0-2642dfa46d6f')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [10, 11, 12, 13]]","[<db_models.TableLogs object at 0x7fde1470b4c0>, <db_models.TableLogs object at 0x7fde1470b880>, <db_models.TableLogs object at 0x7fde14711d00>]","['11', '11']"
12,,[31],"[[145, 320, 489, 338]]",13,[31],"[[145, 1066, 267, 1080]]",[UUID('479b7f33-0020-3618-b6a9-60465e3a73ad')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<db_models.TableLogs object at 0x7fde1470bb80>],"['12', '12']"
16,,[32],"[[145, 1227, 311, 1246]]",17,[33],"[[145, 697, 302, 711]]","[UUID('89d8e540-7631-3e3c-9669-f7105d26da5f'), UUID('24af21e8-3b21-3ca9-9328-a6413b8de821')]","[[26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6]]","[<db_models.TableLogs object at 0x7fde155ffb50>, <db_models.TableLogs object at 0x7fde156e06a0>]",['16']
17,,[33],"[[145, 697, 302, 711]]",18,[33],"[[145, 1043, 378, 1062]]",[UUID('ccfe6761-7441-3314-b130-5d3b84061590')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7fde147114c0>],"['17', '17']"
15,,[32],"[[145, 922, 378, 936]]",16,[32],"[[145, 1227, 311, 1246]]",[UUID('89d8e540-7631-3e3c-9669-f7105d26da5f')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25]]",[<db_models.TableLogs object at 0x7fde155ffb50>],['15']
18,,[33],"[[145, 1043, 378, 1062]]",19,[34],"[[145, 320, 288, 334]]",[UUID('269320e0-3615-3c8f-8625-dcaf7af844ca')],"[[0, 1, 2]]",[<db_models.TableLogs object at 0x7fde1470b580>],['18']
19,,[34],"[[145, 320, 288, 334]]",20,[35],"[[144, 320, 443, 338]]",[UUID('686655c3-5844-35ad-af70-85f45b7297cf')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<db_models.TableLogs object at 0x7fde1649fd30>],['19']
4,1,[26],"[[144, 356, 581, 371]]",4.2,[26],"[[144, 826, 335, 841]]",[UUID('04364462-3301-3e8a-af80-28720e1d73ef')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<db_models.TableLogs object at 0x7fde156e0a00>],['4.1']
4,2,[26],"[[144, 826, 335, 841]]",4.3,[26],"[[144, 967, 329, 982]]",[UUID('04364462-3301-3e8a-af80-28720e1d73ef')],"[[16, 17, 18, 19]]",[<db_models.TableLogs object at 0x7fde156e0a00>],['4.2']
4,3,[26],"[[144, 967, 329, 982]]",4.4,[27],"[[144, 357, 351, 371]]",[UUID('04364462-3301-3e8a-af80-28720e1d73ef')],"[[20, 21, 22, 23, 24, 25, 26, 27]]",[<db_models.TableLogs object at 0x7fde156e0a00>],['4.3']
4,4,[27],"[[144, 357, 351, 371]]",4.5,[27],"[[144, 498, 333, 512]]",[UUID('da20fcaa-0edf-3ba2-a56c-832887c2d292')],"[[0, 1, 2]]",[<db_models.TableLogs object at 0x7fde146dbbe0>],['4.4']
4,5,[27],"[[144, 498, 333, 512]]",4.6,[27],"[[144, 695, 417, 713]]",[UUID('da20fcaa-0edf-3ba2-a56c-832887c2d292')],"[[3, 4, 5, 6, 7, 8]]",[<db_models.TableLogs object at 0x7fde146dbbe0>],['4.5']
