note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
9,,[22],"[[96, 222, 550, 241]]",10,[22],"[[95, 491, 566, 506]]",[UUID('cb5390e4-3929-3cda-b767-e367f62a0a2c')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7fb7d1b88850>],"['9', '9']"
10,,[22],"[[95, 491, 566, 506]]",11,[23],"[[85, 230, 408, 245]]","[UUID('cfe1d1e4-c0f2-38de-8241-a79ed64627b4'), UUID('cb5390e4-3929-3cda-b767-e367f62a0a2c')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], [7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[<db_models.TableLogs object at 0x7fb7d1c177c0>, <db_models.TableLogs object at 0x7fb7d1b88850>]",['10']
11,,[23],"[[85, 230, 408, 245]]",12,[23],"[[87, 477, 358, 492]]",[UUID('44919019-e3b6-31d2-afc8-5210cfe543be')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7fb7d1c172b0>],['11']
12,,[23],"[[87, 477, 358, 492]]",13,[23],"[[89, 765, 597, 781]]",[UUID('3872878c-60ed-3aa2-953f-0e89b48f066a')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<db_models.TableLogs object at 0x7fb7d0c2faf0>],['12']
13,,[23],"[[89, 765, 597, 781]]",14,[24],"[[94, 222, 630, 241]]",[UUID('718dd4ac-3148-3209-bedb-83ba434846df')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7fb7d1c062b0>],['13']
14,,[24],"[[94, 222, 630, 241]]",15,[24],"[[88, 1153, 523, 1172]]","[UUID('2db10173-fce5-38d5-b447-e325009ef2bd'), UUID('e0db3805-d2a7-316a-bf9c-19b14706bf00')]","[[0, 1, 2, 3, 4, 5, 6, 7], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]","[<db_models.TableLogs object at 0x7fb7d1c0c190>, <db_models.TableLogs object at 0x7fb7d1c0cbe0>]","['14', '14']"
15,,[24],"[[88, 1153, 523, 1172]]",16,[25],"[[88, 692, 451, 710]]","[UUID('0252b552-5c7c-37ad-8623-8f6ba06ab221'), UUID('1f85ad32-3952-3bc9-82e8-d230791bfcad')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6]]","[<db_models.TableLogs object at 0x7fb7d1c0cf10>, <db_models.TableLogs object at 0x7fb7d0c2f580>]",['15']
16,,[25],"[[88, 692, 451, 710]]",17,[26],"[[94, 656, 530, 672]]","[UUID('cbfa25a1-73f4-37f4-82b1-d3062d3eedd3'), UUID('6423c401-058e-3ecb-9195-23d5858a967f')]","[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","[<db_models.TableLogs object at 0x7fb7d1c0c700>, <db_models.TableLogs object at 0x7fb7d0c2fd30>]","['16', '16']"
17,,[26],"[[94, 656, 530, 672]]",18,[26],"[[88, 1258, 560, 1277]]",[UUID('1a13d19a-33e7-36aa-bc14-f97272d82501')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]",[<db_models.TableLogs object at 0x7fb7d1c0c6a0>],['17']
18,,[26],"[[88, 1258, 560, 1277]]",19,[27],"[[83, 229, 431, 246]]",[UUID('b7153e08-e21c-3cea-a82d-c0a959961a37')],"[[0, 1, 2, 3, 4, 5, 6, 7]]",[<db_models.TableLogs object at 0x7fb7d1ae8580>],['18']
