note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
6,,[29],"[[145, 319, 457, 338]]",7,[29],"[[145, 507, 465, 521]]",[UUID('783d1f36-c06c-3414-ac20-69f7abffe2dd')],"[[0, 1, 2, 3, 4]]",[<db_models.TableLogs object at 0x7f86e3f4ef40>],"['6', '6']"
7,,[29],"[[145, 507, 465, 521]]",8,[29],"[[145, 703, 306, 717]]",[UUID('783d1f36-c06c-3414-ac20-69f7abffe2dd')],"[[5, 6, 7, 8, 9, 10]]",[<db_models.TableLogs object at 0x7f86e3f4ef40>],['7']
8,,[29],"[[145, 703, 306, 717]]",9,[29],"[[144, 995, 354, 1009]]",[UUID('783d1f36-c06c-3414-ac20-69f7abffe2dd')],"[[11, 12, 13, 14, 15, 16]]",[<db_models.TableLogs object at 0x7f86e3f4ef40>],['8']
9,,[29],"[[144, 995, 354, 1009]]",10,[30],"[[145, 319, 321, 334]]",[UUID('6354e3c7-4619-3a07-b336-df681451d867')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8]]",[<db_models.TableLogs object at 0x7f86e4e43340>],"['9', '9']"
11,,[30],"[[145, 630, 455, 648]]",12,[31],"[[145, 320, 489, 338]]","[UUID('09af3f09-68b9-3555-9536-3587a02264e5'), UUID('e3601430-2dd6-3395-952d-e5ae62f90eeb'), UUID('bb79b34d-1e9c-34e4-aaa1-a6d8509516ef')]","[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4, 5, 6], [10, 11, 12, 13]]","[<db_models.TableLogs object at 0x7f86e4e36520>, <db_models.TableLogs object at 0x7f86e4e36640>, <db_models.TableLogs object at 0x7f86e3feba30>]","['11', '11']"
12,,[31],"[[145, 320, 489, 338]]",13,[31],"[[145, 1066, 267, 1080]]",[UUID('24662bf7-9672-32e9-9ab2-f84001ad12ef')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]]",[<db_models.TableLogs object at 0x7f86e4030a60>],"['12', '12']"
16,,[32],"[[145, 1227, 311, 1246]]",17,[33],"[[145, 697, 302, 711]]","[UUID('2307c038-33fd-3bed-83eb-a45eb8e72b90'), UUID('6bafd8f6-8a94-32ee-9a37-d2ba41062896')]","[[26, 27, 28, 29], [0, 1, 2, 3, 4, 5, 6]]","[<db_models.TableLogs object at 0x7f86e4035fd0>, <db_models.TableLogs object at 0x7f86e3073310>]",['16']
17,,[33],"[[145, 697, 302, 711]]",18,[33],"[[145, 1043, 378, 1062]]",[UUID('65990df0-8285-3b32-87b4-6eebe133f883')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7f86e3ff3820>],"['17', '17']"
15,,[32],"[[145, 922, 378, 936]]",16,[32],"[[145, 1227, 311, 1246]]",[UUID('2307c038-33fd-3bed-83eb-a45eb8e72b90')],"[[17, 18, 19, 20, 21, 22, 23, 24, 25]]",[<db_models.TableLogs object at 0x7f86e4035fd0>],['15']
18,,[33],"[[145, 1043, 378, 1062]]",19,[34],"[[145, 320, 288, 334]]",[UUID('8a5d8593-402f-3237-9f10-7aeb81d494f1')],"[[0, 1, 2]]",[<db_models.TableLogs object at 0x7f86e4000d30>],['18']
19,,[34],"[[145, 320, 288, 334]]",20,[35],"[[144, 320, 443, 338]]",[UUID('85574d29-1138-3d46-afab-d55cdd155e74')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]]",[<db_models.TableLogs object at 0x7f86e3ff3970>],['19']
4,1,[26],"[[144, 356, 581, 371]]",4.2,[26],"[[144, 826, 335, 841]]",[UUID('e8b583fe-7a0d-3304-9c51-b1ed80b890f6')],"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]]",[<db_models.TableLogs object at 0x7f86e3f611f0>],['4.1']
4,2,[26],"[[144, 826, 335, 841]]",4.3,[26],"[[144, 967, 329, 982]]",[UUID('e8b583fe-7a0d-3304-9c51-b1ed80b890f6')],"[[16, 17, 18, 19]]",[<db_models.TableLogs object at 0x7f86e3f611f0>],['4.2']
4,3,[26],"[[144, 967, 329, 982]]",4.4,[27],"[[144, 357, 351, 371]]",[UUID('e8b583fe-7a0d-3304-9c51-b1ed80b890f6')],"[[20, 21, 22, 23, 24, 25, 26, 27]]",[<db_models.TableLogs object at 0x7f86e3f611f0>],['4.3']
4,4,[27],"[[144, 357, 351, 371]]",4.5,[27],"[[144, 498, 333, 512]]",[UUID('dfb38738-8ae6-3592-8b2f-3162f73b28b9')],"[[0, 1, 2]]",[<db_models.TableLogs object at 0x7f86e3fd4340>],['4.4']
4,5,[27],"[[144, 498, 333, 512]]",4.6,[27],"[[144, 695, 417, 713]]",[UUID('dfb38738-8ae6-3592-8b2f-3162f73b28b9')],"[[3, 4, 5, 6, 7, 8]]",[<db_models.TableLogs object at 0x7f86e3fd4340>],['4.5']
