note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[18],"[[58, 181, 539, 200]]",8,[18],"[[58, 655, 546, 670]]","[UUID('9b316d08-5ae0-39fe-a28a-67d9a303905f'), UUID('f985ef4b-2e5e-3fbe-917a-e798773075bc')]","[[0, 1, 2, 3, 4], [0, 1, 2]]","[<db_models.TableLogs object at 0x7f6ec8ed5880>, <db_models.TableLogs object at 0x7f6ec8ed5a90>]","['7', '7']"
8,,[18],"[[58, 655, 546, 670]]",9,[18],"[[58, 939, 499, 954]]",[UUID('328c7752-13d9-3808-8e4a-884989e835c4')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7f6ec8eb97f0>],['8']
9,,[18],"[[58, 939, 499, 954]]",10,[18],"[[58, 1130, 443, 1145]]",[],[],[],['9']
10,,[18],"[[58, 1130, 443, 1145]]",11,[18],"[[58, 1321, 546, 1340]]",[],[],[],['10']
11,,[18],"[[58, 1321, 546, 1340]]",12,[19],"[[58, 181, 489, 196]]",[UUID('4b16b375-a5e0-36e0-94ee-3388b572444a')],"[[0, 1, 2]]",[<db_models.TableLogs object at 0x7f6ec8edd670>],['11']
12,,[19],"[[58, 181, 489, 196]]",13,[19],"[[58, 464, 627, 483]]",[UUID('21e918f8-5d24-3b2f-851e-f4f2003124af')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7f6ec9d5bbe0>],['12']
13,,[19],"[[58, 464, 627, 483]]",14,[20],"[[58, 181, 518, 200]]","[UUID('5833a5d1-c09c-3154-8002-4ad74d57e34c'), UUID('7508670f-8802-3425-8da8-ca9c3aff7cee')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<db_models.TableLogs object at 0x7f6ec7f687c0>, <db_models.TableLogs object at 0x7f6ec9d5b250>]","['13', '13']"
14,,[20],"[[58, 181, 518, 200]]",15,[20],"[[58, 556, 444, 575]]",[UUID('385d71fd-e98a-3fc9-96ec-2e0adb3636cd')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7f6ec8eb9a00>],['14']
15,,[20],"[[58, 556, 444, 575]]",16,[20],"[[58, 748, 454, 763]]",[UUID('690bde78-8180-3e6b-80e6-bc87b543a2f1')],"[[0, 1, 2, 3]]",[<db_models.TableLogs object at 0x7f6ec8eaccd0>],['15']
16,,[20],"[[58, 748, 454, 763]]",17,[21],"[[58, 181, 584, 200]]",[UUID('690bde78-8180-3e6b-80e6-bc87b543a2f1')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<db_models.TableLogs object at 0x7f6ec8eaccd0>],['16']
17,,[21],"[[58, 181, 584, 200]]",18,[21],"[[58, 372, 557, 391]]",[UUID('14ab6223-1d71-31ca-8386-b7340c3a26f8')],"[[0, 1, 2, 3]]",[<db_models.TableLogs object at 0x7f6ec8ee0700>],['17']
18,,[21],"[[58, 372, 557, 391]]",19,[21],"[[58, 748, 429, 767]]",[UUID('a129ee86-9aee-3d8c-b67a-e080a024291d')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<db_models.TableLogs object at 0x7f6ec8eb9c70>],['18']
19,,[21],"[[58, 748, 429, 767]]",20,[21],"[[58, 939, 461, 954]]",[],[],[],['19']
20,,[21],"[[58, 939, 461, 954]]",21,[21],"[[58, 1222, 495, 1241]]",[UUID('69680d68-0499-3b0a-b916-1d9e0421eee0')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7f6ec8ee62e0>],['20']
21,,[21],"[[58, 1222, 495, 1241]]",22,[22],"[[58, 181, 490, 196]]",[UUID('e5adf9da-1ce8-3e27-a978-2db47a93e8b8')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7f6ec8ee0be0>],['21']
22,,[22],"[[58, 181, 490, 196]]",23,[22],"[[58, 372, 471, 391]]",[UUID('f55109bd-d498-3d16-a908-a5172c3a75a9')],"[[0, 1, 2, 3, 4]]",[<db_models.TableLogs object at 0x7f6ec8ee0eb0>],['22']
23,,[22],"[[58, 372, 471, 391]]",24,[22],"[[58, 563, 503, 578]]",[UUID('f55109bd-d498-3d16-a908-a5172c3a75a9')],"[[5, 6, 7, 8, 9]]",[<db_models.TableLogs object at 0x7f6ec8ee0eb0>],['23']
24,,[22],"[[58, 563, 503, 578]]",25,[22],"[[58, 1037, 537, 1056]]",[UUID('f55109bd-d498-3d16-a908-a5172c3a75a9')],"[[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]]",[<db_models.TableLogs object at 0x7f6ec8ee0eb0>],['24']
25,,[22],"[[58, 1037, 537, 1056]]",26,[23],"[[58, 181, 350, 200]]",[UUID('6ad081c9-6281-3b76-bac7-c22369b34a8b')],"[[0, 1, 2]]",[<db_models.TableLogs object at 0x7f6ec7f68d60>],['25']
26,,[23],"[[58, 181, 350, 200]]",27,[23],"[[58, 556, 363, 575]]",[UUID('7fdc5704-8f0c-3783-a16f-9b5ea6695fe9')],"[[0, 1, 2, 3]]",[<db_models.TableLogs object at 0x7f6ec8eeabe0>],['26']
27,,[23],"[[58, 556, 363, 575]]",28,[23],"[[58, 817, 523, 836]]",[UUID('56aa5dbe-5af6-3af8-8e0d-81d7ad85128e')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7f6ec8ee35b0>],"['27', '27']"
4,,[16],"[[58, 873, 211, 887]]",5,[17],"[[58, 182, 221, 200]]",[UUID('a43afe4a-0070-3dde-a3c9-9d5860d3947d')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7f6ec8ee0ac0>],['4']
6,,[17],"[[58, 713, 304, 728]]",7,[18],"[[58, 181, 539, 200]]",[UUID('959cff20-072d-31e5-8b4d-ec7ae2b01aca')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]",[<db_models.TableLogs object at 0x7f6ec8ee6b50>],['6']
