note,subnote,start_page,star_bbox,next_note_pattern,end_page,end_bbox,tableid,row_numbers,tableslist,raw_note_number
7,,[18],"[[58, 181, 539, 200]]",8,[18],"[[58, 655, 546, 670]]",[UUID('021a87eb-18aa-3946-902e-0771b5ffe784')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7f8aa57b14f0>],"['7', '7']"
8,,[18],"[[58, 655, 546, 670]]",9,[18],"[[58, 939, 499, 954]]",[UUID('2221add9-8766-3bf7-a486-81f386ef2495')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7f8aa574be80>],['8']
9,,[18],"[[58, 939, 499, 954]]",10,[18],"[[58, 1130, 443, 1145]]",[UUID('e8837d25-e3b6-3e9c-8aaa-44ee95452482')],"[[0, 1, 2, 3, 4]]",[<db_models.TableLogs object at 0x7f8aa574b4f0>],['9']
10,,[18],"[[58, 1130, 443, 1145]]",11,[18],"[[58, 1321, 546, 1340]]",[],[],[],['10']
11,,[18],"[[58, 1321, 546, 1340]]",12,[19],"[[58, 181, 489, 196]]",[UUID('75204248-2186-340f-adc2-8a2a12f1c3fb')],"[[0, 1, 2, 3]]",[<db_models.TableLogs object at 0x7f8aa5754220>],['11']
12,,[19],"[[58, 181, 489, 196]]",13,[19],"[[58, 464, 627, 483]]",[UUID('712b40b6-4e6f-3e96-a0f1-9f122972b1a5')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7f8aa574b5b0>],['12']
13,,[19],"[[58, 464, 627, 483]]",14,[20],"[[58, 181, 518, 200]]","[UUID('f363f7cd-0bd7-3e5a-b86c-02b27c011d1b'), UUID('31ce2993-57dc-3b3d-809a-5de2fae40144')]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]]","[<db_models.TableLogs object at 0x7f8aa575bbe0>, <db_models.TableLogs object at 0x7f8aa574b760>]","['13', '13']"
14,,[20],"[[58, 181, 518, 200]]",15,[20],"[[58, 556, 444, 575]]",[UUID('ebdc7cfe-8012-3468-b2a8-1b4c09b10b36')],"[[0, 1, 2, 3, 4, 5]]",[<db_models.TableLogs object at 0x7f8aa6597e80>],['14']
15,,[20],"[[58, 556, 444, 575]]",16,[20],"[[58, 748, 454, 763]]",[UUID('b86fefaf-ca74-3e8f-867b-b67a61a50019')],"[[0, 1, 2, 3]]",[<db_models.TableLogs object at 0x7f8aa5796640>],['15']
16,,[20],"[[58, 748, 454, 763]]",17,[21],"[[58, 181, 584, 200]]",[UUID('b86fefaf-ca74-3e8f-867b-b67a61a50019')],"[[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]]",[<db_models.TableLogs object at 0x7f8aa5796640>],['16']
17,,[21],"[[58, 181, 584, 200]]",18,[21],"[[58, 372, 557, 391]]",[UUID('ea917048-ffd4-31f7-832d-9b9d538cf3ba')],"[[0, 1, 2, 3]]",[<db_models.TableLogs object at 0x7f8aa575fbe0>],['17']
18,,[21],"[[58, 372, 557, 391]]",19,[21],"[[58, 748, 429, 767]]",[UUID('3827b401-42a4-32f0-b1f8-6f4addb5a914')],"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",[<db_models.TableLogs object at 0x7f8aa57673d0>],['18']
19,,[21],"[[58, 748, 429, 767]]",20,[21],"[[58, 939, 461, 954]]",[],[],[],['19']
20,,[21],"[[58, 939, 461, 954]]",21,[21],"[[58, 1222, 495, 1241]]",[UUID('07488dc1-8010-34c6-8491-32fc0b0f9824')],"[[0, 1, 2, 3, 4, 5, 6]]",[<db_models.TableLogs object at 0x7f8aa57543d0>],['20']
21,,[21],"[[58, 1222, 495, 1241]]",22,[22],"[[58, 181, 490, 196]]",[UUID('397096cd-04f7-35aa-a03b-7b4819603397')],"[[0, 1, 2, 3, 4]]",[<db_models.TableLogs object at 0x7f8aa574bd00>],['21']
22,,[22],"[[58, 181, 490, 196]]",23,[22],"[[58, 372, 471, 391]]",[UUID('de759e5d-f885-3fa9-ada9-88a14c80dd12')],"[[0, 1, 2, 3, 4]]",[<db_models.TableLogs object at 0x7f8aa574bd90>],['22']
23,,[22],"[[58, 372, 471, 391]]",24,[22],"[[58, 563, 503, 578]]",[UUID('de759e5d-f885-3fa9-ada9-88a14c80dd12')],"[[5, 6, 7, 8, 9]]",[<db_models.TableLogs object at 0x7f8aa574bd90>],['23']
